total timesteps,eval_qs,eval_time_elapsed,eval_qs_difference,eval_abs_qs_difference,eval_ep_rewmean,eval_eplenmean,eval mean 100 episode reward,eval_discount_q,update_time,fps,time_elapsed,env_time,episodes,ep_rewmean,act_time,mean 100 episode reward,n_updates,qs_abs_difference,qs_mean,discount_q,current_lr,train_time,eplenmean,qs_difference
1,-1.6129628,0,-49.25513577275221,49.25514,99.62040254545455,21.272727272727273,99.3,90.38640540566368,,,,,,,,,,,,,,,,
4457,,,,,,,,,12,263,16,3,188,119.55405637000001,0,119.6,0,90.25163430072256,0.24429554,84.75733178343977,0.0003,0,23.85,-90.25163430072256
4558,,,,,,,,,13,256,17,3,192,119.15125435,0,119.2,0,46.64702592021858,0.23492685,37.665405210755274,0.0003,0,23.79,-46.64702592021858
4659,,,,,,,,,14,250,18,3,196,119.73793975000002,0,119.7,0,47.68272332066838,0.36741295,38.327528372846885,0.0003,0,23.88,-47.68272332066838
4772,,,,,,,,,14,247,19,3,200,120.60286687000001,0,120.6,0,44.061868514378645,0.112110764,31.259235551290562,0.0003,0,24.06,-44.061868514378645
4872,,,,,,,,,15,245,19,3,204,120.40637746000002,0,120.4,0,70.04243171895826,0.13010696,62.60937187123698,0.0003,0,24.0,-70.04243171895826
4971,,,,,,,,,15,239,20,3,208,120.86422067000004,0,120.9,0,39.772388370559575,0.08858385,31.738789028638426,0.0003,0,24.07,-39.772388370559575
5058,,,,,,,,,16,238,21,3,212,121.03370518,0,121.0,0,47.69616638332811,0.11156911,43.931388731849616,0.0003,0,24.11,-47.69616638332811
5159,,,,,,,,,17,232,22,3,216,122.04019959000003,0,122.0,0,44.61974746858826,0.24022497,35.55793183912103,0.0003,0,24.34,-44.61974746858826
5247,,,,,,,,,17,229,22,3,220,122.98119771,0,123.0,0,71.2946545057434,0.27835587,70.33304370444321,0.0003,0,24.5,-71.2946545057434
5352,,,,,,,,,18,225,23,3,224,123.99360895999999,0,124.0,0,55.07722029342279,0.3419702,44.72855693908431,0.0003,0,24.69,-55.07722029342279
5448,,,,,,,,,19,219,24,3,228,124.01072961999998,0,124.0,0,52.436176507096434,0.18778543,46.31796876676648,0.0003,0,24.72,-52.436176507096434
5541,,,,,,,,,20,215,25,3,232,124.13452821999999,0,124.1,0,62.3694470178411,0.21833836,57.33512647916129,0.0003,0,24.71,-62.3694470178411
5616,,,,,,,,,21,213,26,3,236,123.75278479,0,123.8,0,44.2203915003444,0.27139354,45.989881014491566,0.0003,0,24.63,-44.2203915003444
5709,,,,,,,,,22,208,27,3,240,122.22751891,0,122.2,0,41.42154185404532,0.3348179,35.80819587005273,0.0003,0,24.34,-41.42154185404532
5800,,,,,,,,,22,204,28,3,244,121.75311175000003,0,121.8,0,55.88362401905386,0.32363254,50.62032675003439,0.0003,0,24.23,-55.88362401905386
5885,,,,,,,,,22,206,28,3,248,120.63869139,0,120.6,0,55.28840260629597,0.3251971,53.521636675102656,0.0003,0,24.04,-55.28840260629597
5989,,,,,,,,,24,202,29,4,252,121.18736508000002,0,121.2,0,47.936821009182154,0.20187095,37.09542759223245,0.0003,0,24.14,-47.936821009182154
6100,,,,,,,,,26,192,31,4,256,121.82211971000002,0,121.8,0,46.408505519299936,0.31705174,34.02713221821111,0.0003,0,24.25,-46.408505519299936
6210,,,,,,,,,26,190,32,4,260,122.44241131000001,0,122.4,0,60.56297873723132,0.14213987,50.35381267663378,0.0003,0,24.41,-60.56297873723132
6302,,,,,,,,,27,186,33,4,264,122.04913758999999,0,122.0,0,44.93714187413321,0.16276471,39.104992055095956,0.0003,0,24.35,-44.93714187413321
6395,,,,,,,,,27,189,33,4,268,122.95237882999999,0,123.0,0,66.55420233114043,0.2700774,63.49795875830582,0.0003,0,24.53,-66.55420233114043
6506,,,,,,,,,29,181,35,4,272,124.16889931,0,124.2,0,88.37848336036642,0.19553214,79.63356797337636,0.0003,0,24.79,-88.37848336036642
6596,,,,,,,,,29,183,35,4,276,123.24952109000002,0,123.2,0,76.6991031428318,0.25347507,78.10005987498808,0.0003,0,24.63,-76.6991031428318
6675,,,,,,,,,30,179,37,4,280,122.34471131000001,0,122.3,0,44.04358461658372,0.23875703,44.13401826394015,0.0003,0,24.47,-44.04358461658372
6771,,,,,,,,,32,176,38,4,284,121.16299208000002,0,121.2,0,56.168599138463,0.3281014,49.63708727494553,0.0003,0,24.25,-56.168599138463
6877,,,,,,,,,33,173,39,4,288,120.94990632000003,0,120.9,0,73.92641198853345,0.41700277,65.92717221054144,0.0003,0,24.2,-73.92641198853345
6984,,,,,,,,,34,170,40,4,292,121.30940650000002,0,121.3,0,71.9305174838075,0.27467766,59.55860477418921,0.0003,0,24.26,-71.9305174838075
7072,,,,,,,,,35,168,41,4,296,120.57153193,0,120.6,0,47.64828789655354,0.2578348,43.55913914593478,0.0003,0,24.13,-47.64828789655354
7154,,,,,,,,,36,165,43,4,300,119.14537052999998,0,119.1,0,47.77313213858746,0.15958822,46.33281925125297,0.0003,0,23.82,-47.77313213858746
7252,,,,,,,,,38,161,44,5,304,119.00060930000004,0,119.0,0,73.791805826179,0.18144067,68.44359771543463,0.0003,0,23.8,-73.791805826179
7358,,,,,,,,,39,158,46,5,308,119.45338181000001,0,119.5,0,78.94157728486803,0.2467185,67.81620594806799,0.0003,0,23.87,-78.94157728486803
7463,,,,,,,,,40,157,47,5,312,120.38681204000001,0,120.4,0,41.784672454471036,0.21972436,31.89816331203855,0.0003,0,24.05,-41.784672454471036
7541,,,,,,,,,41,154,48,5,316,119.39253216000003,0,119.4,0,54.91599030001203,0.2505387,57.055953430293904,0.0003,0,23.82,-54.91599030001203
7638,,,,,,,,,43,151,50,5,320,119.74555341000003,0,119.7,0,55.57953361404474,0.281993,47.58072370657948,0.0003,0,23.91,-55.57953361404474
7746,,,,,,,,,44,149,51,5,324,119.90039782,0,119.9,0,75.62285208771554,0.36517677,63.50174796496869,0.0003,0,23.94,-75.62285208771554
7859,,,,,,,,,45,147,53,5,328,120.78370607000001,0,120.8,0,53.14571896815716,0.34508005,39.31735170481536,0.0003,0,24.11,-53.14571896815716
7955,,,,,,,,,46,145,54,5,332,120.79897075,0,120.8,0,49.52600332771984,0.24392088,42.37855293249518,0.0003,0,24.14,-49.52600332771984
8051,,,,,,,,,48,143,55,5,336,121.8616649,0,121.9,0,75.71541937983727,0.15656842,72.53607846603009,0.0003,0,24.35,-75.71541937983727
8158,,,,,,,,,49,141,57,5,340,122.54192375999999,0,122.5,0,62.01960949704889,0.41483065,51.55468696543203,0.0003,0,24.49,-62.01960949704889
8270,,,,,,,,,51,139,59,5,344,123.77921470999999,0,123.8,0,70.15387250923054,0.28352872,54.52313867259591,0.0003,0,24.7,-70.15387250923054
