eval_qs,eval mean 100 episode reward,eval_ep_rewmean,eval_discount_q,eval_qs_difference,total timesteps,eval_abs_qs_difference,eval_time_elapsed,eval_eplenmean,discount_q,mean 100 episode reward,train_time,n_updates,update_time,qs_difference,qs_abs_difference,time_elapsed,fps,eplenmean,env_time,episodes,current_lr,ep_rewmean,qs_mean,act_time,qfs_loss,q_grad_norm
-1.3183887,8.7,8.748868636363637,8.342477316641954,-4.0531281387506235,1,4.0531282,0,17.90909090909091,,,,,,,,,,,,,,,,,,
,,,,,38844,,,,5.866781361779977,225.8,316,27800,644,34.83327103064566,38.02831044247889,1019,38,108.36,37,1268,0.0003,225.76778899999996,137.19606,9,68.124275,3624.4644
,,,,,39343,,,,4.497474941527436,231.0,326,28800,659,29.482487598484948,29.558740854756074,1046,37,110.05,38,1272,0.0003,231.04677619999998,151.30153,9,74.55723,3473.9043
,,,,,39569,,,,13.63773683261751,228.3,331,29200,665,145.62635824135415,145.62635824135415,1057,37,108.8,38,1276,0.0003,228.30092932999997,188.91893,9,65.331154,3369.1265
,,,,,39881,,,,21.28724168023845,225.6,337,29800,675,31.852165494662973,32.222605871844365,1073,37,107.62,38,1280,0.0003,225.57043374,139.22246,9,64.14527,3418.8088
133.51318,94.1,290.9862763636363,150.50324414743898,19.400769935083673,40001,25.51393,2,124.36363636363636,,,,,,,,,,,,,,,,,,
,,,,,40364,,,,3.880864954728608,228.3,348,30800,690,16.587451641876363,33.70156626092619,1102,36,108.15,38,1284,0.0003,228.30145366,130.43361,9,73.68179,3479.5957
,,,,,40884,,,,2.8760972771982445,230.5,359,31800,705,21.999832669614772,22.380323451175393,1129,36,108.45,39,1288,0.0003,230.46939560999996,138.43779,10,55.82889,3101.0068
,,,,,41408,,,,2.8165921417271877,233.2,372,33000,724,31.111057964511236,31.169414108431067,1161,35,109.1,39,1292,0.0003,233.17868717000002,142.30504,10,54.36101,3169.3435
,,,,,41943,,,,3.103029401018939,236.1,383,34000,739,8.140807818171716,13.40880841223716,1188,35,109.73,40,1296,0.0003,236.05843255999997,139.63866,10,57.989883,3238.8809
,,,,,42544,,,,1.3437394694819953,239.8,395,35200,758,26.03740615670233,27.790052711810475,1220,34,111.18,40,1300,0.0003,239.77124055000002,139.26701,11,64.82049,3621.078
,,,,,43101,,,,2.206861580068233,244.4,408,36400,777,15.591323539573752,16.59485414579774,1253,34,112.32,41,1304,0.0003,244.35963181000002,139.23083,11,67.014275,3595.7498
,,,,,43354,,,,88.94323646459776,239.0,412,36800,783,-14.022757547535825,15.242672425085642,1264,34,109.67,41,1308,0.0003,238.97276515000004,143.72188,11,52.437466,2719.6562
,,,,,43938,,,,2.589636956969216,240.8,425,38000,802,26.31491654268779,26.38334012556013,1297,33,110.73,42,1312,0.0003,240.76797547,158.57858,11,64.495285,2941.979
,,,,,44354,,,,2.256950522087532,239.6,434,38800,815,150.05377769763138,150.05377769763138,1320,33,110.29,42,1316,0.0003,239.64272762000002,196.32622,11,85.84629,3836.9307
,,,,,44609,,,,10.697609373975334,235.5,440,39400,825,152.86203711444557,152.86203711444557,1336,33,108.5,42,1320,0.0003,235.45863450000002,195.76175,12,61.7138,3080.4773
,,,,,45073,,,,1.491486466049436,237.3,449,40200,838,147.02855111280647,147.02855111280647,1358,33,109.37,43,1324,0.0003,237.28537294,193.42659,12,67.50373,2935.885
,,,,,45458,,,,4.242925986306996,235.4,457,41000,851,138.21371890091996,138.21371890091996,1381,32,108.79,43,1328,0.0003,235.44866834,193.20187,12,70.49672,3245.6265
,,,,,46484,,,,0.029013142601082655,244.4,479,43000,884,72.19895694394754,72.19895694394754,1437,32,114.67,44,1332,0.0003,244.39192111999998,179.07219,12,67.80213,3020.7195
,,,,,47274,,,,0.2168307232301894,250.1,496,44600,911,37.89947763576913,38.94992320834787,1482,31,118.22,45,1336,0.0003,250.06853421999998,146.3994,13,65.33273,2936.745
,,,,,47883,,,,1.2720136813147862,256.2,509,45800,931,41.039178992858794,41.20554798531692,1516,31,120.37,45,1340,0.0003,256.24100548999996,147.32729,13,63.79086,3119.249
