eval_eplenmean,eval_ep_rewmean,eval_discount_q,eval_abs_qs_difference,total timesteps,eval_time_elapsed,eval_qs,eval mean 100 episode reward,eval_qs_difference,current_lr,act_time,time_elapsed,qs_difference,qs_abs_difference,eplenmean,mean 100 episode reward,qs_mean,fps,episodes,discount_q,train_time,ep_rewmean,n_updates,env_time,update_time,q_grad_norm,qfs_loss
,,,,192000,,,,,0.0003,147,10576,1.0720829322067271,1.0832175730370461,1000.0,104.8,11.736811,18,192,2.697740565040787e-12,4374,104.84611130000002,334200,281,5260,0.6929125,0.0039896998
,,,,196000,,,,,0.0003,151,10840,1.0012297814004807,1.061110703457967,1000.0,108.5,11.975453,18,196,2.5272970220506773e-12,4479,108.47688244999999,342200,286,5409,0.66363925,0.0034451846
,,,,200000,,,,,0.0003,154,11103,1.4479401057665269,1.4775623875545094,1000.0,111.7,11.707912,18,200,2.6343252090776083e-12,4584,111.68943855999999,350200,292,5557,0.58737546,0.0032292958
1000.0,141.99812572727274,33.10048071701735,1.2255809,200001,22,11.684982,118.7,0.7621183807136525,,,,,,,,,,,,,,,,,,
,,,,204000,,,,,0.0003,158,11390,0.9979235558709986,1.0131515490227943,1000.0,114.8,11.872505,17,204,2.6284150973884137e-12,4689,114.81258938,358200,298,5706,0.8077564,0.0037948661
,,,,208000,,,,,0.0003,161,11654,0.9720615195425697,1.0052909646628165,1000.0,117.7,12.095752,17,208,2.5860935858114735e-12,4793,117.65498853000001,366200,304,5855,0.52143514,0.0027393857
1000.0,143.204287,32.66902371573987,1.1525916,210001,22,11.792151,127.3,0.70595592824853,,,,,,,,,,,,,,,,,,
,,,,212000,,,,,0.0003,164,11940,1.1860980697825612,1.203848320222909,1000.0,120.5,12.075744,17,212,2.6247217493661066e-12,4897,120.49542566999999,374200,310,6004,0.6382644,0.003211544
,,,,216000,,,,,0.0003,168,12203,1.4103441937936365,1.4148559376636152,1000.0,123.2,11.66025,17,216,2.6457250605360053e-12,5001,123.15837627,382200,316,6152,0.57953554,0.0028534727
,,,,220000,,,,,0.0003,171,12466,1.269262208689742,1.2773222946850702,1000.0,125.9,12.011836,17,220,2.6991361508338388e-12,5105,125.92948104000001,390200,321,6300,0.58028185,0.002582363
1000.0,142.4328999090909,32.74900943103721,1.2552409,220001,22,11.825299,134.1,0.824160415088886,,,,,,,,,,,,,,,,,,
,,,,224000,,,,,0.0003,175,12752,1.4224848143919193,1.4409058321823494,1000.0,128.5,12.1124325,17,224,2.648142483726441e-12,5210,128.54447503,398200,327,6449,0.57277066,0.0030150134
,,,,228000,,,,,0.0003,178,13015,1.1013730065540503,1.1199770369470725,1000.0,129.7,11.828311,17,228,2.641784441206474e-12,5314,129.71868987999997,406200,333,6598,0.48638958,0.002025347
1000.0,145.2981008181818,33.569442094035296,1.1735238,230001,22,12.000103,137.8,0.7936666506389849,,,,,,,,,,,,,,,,,,
,,,,232000,,,,,0.0003,181,13301,1.060723046053885,1.0861232465786417,1000.0,131.3,12.271395,17,232,2.5837825135599103e-12,5418,131.25249853999998,414200,339,6746,0.5927604,0.0026722632
,,,,236000,,,,,0.0003,185,13564,1.4564836634845204,1.472273260373192,1000.0,133.4,11.984719,17,236,2.7096299674398237e-12,5523,133.41452534,422200,345,6895,0.4859349,0.0017129323
,,,,240000,,,,,0.0003,188,13828,1.4863982686163304,1.4962190529482218,1000.0,135.6,12.396612,17,240,2.5052065830929845e-12,5627,135.60000214,430200,351,7043,0.4340067,0.0017556938
1000.0,147.1546748181818,33.30073749043952,1.1970161,240001,22,12.171462,140.0,0.752766990868702,,,,,,,,,,,,,,,,,,
,,,,244000,,,,,0.0003,192,14115,1.0618245581377113,1.0634838990401314,1000.0,136.3,12.360484,17,244,2.5276327900206118e-12,5731,136.33669251,438200,357,7192,0.5315405,0.002746863
,,,,248000,,,,,0.0003,195,14378,1.115639271992839,1.1192802874934307,1000.0,136.9,11.926344,17,248,2.664979012454646e-12,5836,136.94742497999997,446200,363,7341,0.52481145,0.0022496057
1000.0,144.8530860909091,33.19275908063794,1.2225194,250001,22,12.056602,142.0,0.8573751019182716,,,,,,,,,,,,,,,,,,
,,,,252000,,,,,0.0003,199,14665,1.0947827859124337,1.0968623997565827,1000.0,137.6,11.977522,17,252,2.6261960468799975e-12,5940,137.58496631,454200,368,7491,0.57893735,0.0023535222
,,,,256000,,,,,0.0003,202,14929,1.352243927128705,1.3536907258680488,1000.0,137.9,11.929662,17,256,2.652462536589388e-12,6044,137.93206262,462200,374,7640,0.48504,0.0021354256
,,,,260000,,,,,0.0003,206,15192,0.9542753841020801,0.9689223650700662,1000.0,138.4,12.2687845,17,260,2.5816429970752117e-12,6148,138.38377551,470200,380,7788,0.38351822,0.0015309468
1000.0,147.33157036363633,33.96366181233711,1.215068,260001,22,12.026697,143.2,0.655943073853832,,,,,,,,,,,,,,,,,,
,,,,264000,,,,,0.0003,209,15478,1.0504087908395598,1.0518538025919248,1000.0,139.8,12.380598,17,264,2.4628781125323136e-12,6253,139.77400206000002,478200,386,7937,0.46117035,0.0016692466
,,,,268000,,,,,0.0003,212,15742,0.9819245379769045,1.022489880193069,1000.0,140.3,12.286119,17,268,2.6653061134597846e-12,6357,140.26182411000002,486200,392,8086,0.49696583,0.0017018109
1000.0,147.57122672727272,33.85522253622791,1.2690033,270001,22,12.170224,144.7,0.7647692301800063,,,,,,,,,,,,,,,,,,
,,,,272000,,,,,0.0003,216,16029,0.9945794667731026,1.002812673770563,1000.0,140.7,12.218307,16,272,2.551705934689225e-12,6461,140.69090497000002,494200,398,8235,0.4656347,0.0017133343
,,,,276000,,,,,0.0003,219,16293,1.3560920666254406,1.3892519674197508,1000.0,141.1,12.264604,16,276,2.681084148434696e-12,6566,141.09366609999998,502200,404,8385,0.48658574,0.0019391216
,,,,280000,,,,,0.0003,223,16557,0.9459165503904864,0.9799252389099108,1000.0,141.6,12.291137,16,280,2.79218185571949e-12,6670,141.57797388,510200,410,8533,0.4650709,0.0015537791
1000.0,145.42208954545455,33.131421178842864,1.5749484,280001,22,12.295124,145.0,1.0329268316437625,,,,,,,,,,,,,,,,,,
,,,,284000,,,,,0.0003,226,16843,0.9538677893484696,0.9729816909069438,1000.0,141.8,12.284537,16,284,2.632388604993288e-12,6775,141.80469065,518200,415,8682,0.44556934,0.0014703902
,,,,288000,,,,,0.0003,230,17106,1.4333554112913127,1.4462602212362428,1000.0,142.2,12.263406,16,288,2.7820470622630456e-12,6879,142.15362231999998,526200,421,8830,0.44466862,0.0016684238
1000.0,146.27098627272727,33.08570240030869,1.2763146,290001,22,12.217464,145.4,0.8658503560940521,,,,,,,,,,,,,,,,,,
,,,,292000,,,,,0.0003,233,17392,1.3661610028068787,1.366610482092246,1000.0,142.3,12.297887,16,292,2.5673285138291137e-12,6983,142.33015145000002,534200,427,8979,0.42298234,0.0016960804
,,,,296000,,,,,0.0003,236,17656,1.0571121679253574,1.0732144808909048,1000.0,142.6,12.349569,16,296,2.6253175289070355e-12,7088,142.56015720000002,542200,433,9127,0.39918733,0.0014347617
,,,,300000,,,,,0.0003,240,17919,1.518581894810251,1.5214948739796323,1000.0,142.7,12.273033,16,300,2.6307090431776163e-12,7192,142.74123235000002,550200,439,9276,0.42997035,0.001633067
1000.0,143.01647918181817,33.35515178418317,1.3933462,300001,22,12.133884,145.5,1.1343973989810356,,,,,,,,,,,,,,,,,,
,,,,304000,,,,,0.0003,243,18205,1.0113159427442493,1.0118817264595783,1000.0,142.9,12.358303,16,304,2.690014200401101e-12,7296,142.85489447999998,558200,445,9424,0.44216686,0.0015427013
,,,,308000,,,,,0.0003,247,18468,1.0331964965807308,1.044527782795317,1000.0,143.0,12.422516,16,308,2.5959385040328297e-12,7400,142.99534708,566200,451,9573,0.52186716,0.002323914
1000.0,148.46051045454544,33.15116159785512,1.3403817,310001,22,12.594631,146.1,1.030543763279052,,,,,,,,,,,,,,,,,,
,,,,312000,,,,,0.0003,250,18754,1.1624362876316752,1.1638497436313937,1000.0,143.1,12.449035,16,312,2.680278250468343e-12,7504,143.14131204,574200,456,9722,0.43687257,0.0016310067
,,,,316000,,,,,0.0003,254,19018,1.2854203570846137,1.285785812811246,1000.0,143.4,12.386592,16,316,2.7755596964187165e-12,7608,143.40008536,582200,462,9871,0.390828,0.0013000122
,,,,320000,,,,,0.0003,257,19281,1.4539051985285885,1.4596124527104324,1000.0,143.4,12.26794,16,320,2.725631153668237e-12,7712,143.41310797,590200,468,10020,0.3812854,0.0012993582
1000.0,145.31668981818183,33.46501331237525,1.297597,320001,22,12.258578,146.1,1.0399446836940696,,,,,,,,,,,,,,,,,,
,,,,324000,,,,,0.0003,260,19567,1.081718097972844,1.0874742160638633,1000.0,143.6,12.303901,16,324,2.6798053974267448e-12,7817,143.61092517,598200,474,10169,0.33795202,0.0010470226
,,,,328000,,,,,0.0003,264,19830,1.4277869584791965,1.4346861692297337,1000.0,143.7,12.503661,16,328,2.5898551164033373e-12,7921,143.68656454,606200,480,10318,0.3700571,0.0011935164
1000.0,146.0050738181818,33.60960962926404,1.3701481,330001,22,12.21319,146.0,0.9400340565704706,,,,,,,,,,,,,,,,,,
,,,,332000,,,,,0.0003,267,20117,1.0974280165465644,1.1448149901012123,1000.0,143.9,12.273452,16,332,2.828783581847494e-12,8025,143.86058108,614200,486,10467,0.33375388,0.0012605013
,,,,336000,,,,,0.0003,271,20380,1.1903007666141603,1.1903007666141603,1000.0,144.0,12.631496,16,336,2.4939920121759693e-12,8129,143.97100455,622200,491,10616,0.40157676,0.0012460182
,,,,340000,,,,,0.0003,274,20644,1.0606957747530135,1.0678074352784175,1000.0,144.1,12.4793005,16,340,2.629728557422061e-12,8233,144.06012429000003,630200,497,10765,0.35223633,0.0012064937
1000.0,148.5675427272727,33.13072378398068,1.3399558,340001,22,12.42161,146.5,0.8447968268381794,,,,,,,,,,,,,,,,,,
,,,,344000,,,,,0.0003,278,20930,1.625677933585258,1.6257498241639174,1000.0,144.1,12.656441,16,344,2.2946131702760748e-12,8337,144.07251237,638200,503,10914,0.37405616,0.0011217962
,,,,348000,,,,,0.0003,281,21193,1.0705126710985753,1.0717504763265273,1000.0,144.2,12.360121,16,348,2.7550737749679383e-12,8441,144.17411864,646200,509,11063,0.48575348,0.0017426122
1000.0,148.5406219090909,33.68008322309964,1.4960777,350001,22,12.544709,146.5,1.0249748219280237,,,,,,,,,,,,,,,,,,
,,,,352000,,,,,0.0003,284,21479,0.9649270303765868,0.9962694944831044,1000.0,144.3,12.620779,16,352,2.6067668111827387e-12,8546,144.27060637000002,654200,515,11211,0.3761219,0.0013177491
,,,,356000,,,,,0.0003,288,21742,1.0520406770084156,1.064369672508577,1000.0,144.6,12.430322,16,356,2.753559015118616e-12,8650,144.57215857000003,662200,520,11360,0.4039793,0.001768796
,,,,360000,,,,,0.0003,291,22006,1.0352789036129522,1.043923733271248,1000.0,144.8,12.706649,16,360,2.5117999898973793e-12,8754,144.79173563,670200,526,11509,0.41183156,0.0013812105
1000.0,150.25884,33.727052256387964,1.2572151,360001,22,12.492984,146.9,0.8060789357943989,,,,,,,,,,,,,,,,,,
,,,,364000,,,,,0.0003,295,22293,1.0710515519015937,1.071774959745398,1000.0,145.0,12.382422,16,364,2.7288718876580696e-12,8859,144.95527174,678200,532,11658,0.33885905,0.0012052755
,,,,368000,,,,,0.0003,298,22556,1.054896516355929,1.0588520598032578,1000.0,145.1,12.466711,16,368,2.659761806642599e-12,8963,145.05946523999998,686200,538,11807,0.39445907,0.0012714869
1000.0,149.86651700000002,33.58393886193103,1.2804995,370001,22,12.490826,147.3,0.828982776687878,,,,,,,,,,,,,,,,,,
,,,,372000,,,,,0.0003,302,22842,1.0516375077450364,1.0545735263489389,1000.0,145.2,12.634727,16,372,2.712883076985908e-12,9067,145.20138519999998,694200,544,11955,0.37846106,0.0011500589
,,,,376000,,,,,0.0003,305,23105,1.4214484766130566,1.4217485061298674,1000.0,145.2,12.659992,16,376,2.5399371960520505e-12,9171,145.16359868,702200,550,12104,0.36025107,0.0010178238
,,,,380000,,,,,0.0003,308,23367,1.5152250025219314,1.519307863517544,1000.0,145.2,12.6498575,16,380,2.5933727302140096e-12,9275,145.19504418,710200,556,12252,0.26389334,0.00085518835
1000.0,150.65815481818183,33.363099039737826,1.3379297,380001,22,12.639718,147.8,0.876848149001826,,,,,,,,,,,,,,,,,,
,,,,384000,,,,,0.0003,312,23654,1.042319398722063,1.0431701464333152,1000.0,145.3,12.588664,16,384,2.575584854074389e-12,9379,145.25808662,718200,561,12401,0.28699297,0.0010065907
,,,,388000,,,,,0.0003,315,23917,1.1854683957344676,1.1911516402157531,1000.0,145.4,12.657912,16,388,2.658859348717996e-12,9483,145.37308655,726200,567,12550,0.35308528,0.0010960759
1000.0,149.38315699999998,33.754258880448944,1.3302096,390001,22,12.463369,148.4,0.8667250346225542,,,,,,,,,,,,,,,,,,
,,,,392000,,,,,0.0003,319,24204,1.3808329799711974,1.3888160266215488,1000.0,145.5,12.674115,16,392,2.588331243706672e-12,9587,145.47955532999998,734200,573,12699,0.28328308,0.000768328
,,,,396000,,,,,0.0003,322,24468,1.166895514857526,1.1674581600848917,1000.0,145.6,12.439191,16,396,2.8212724777268622e-12,9692,145.59939551000002,742200,579,12848,0.26392344,0.0008575908
,,,,400000,,,,,0.0003,326,24732,1.1168813840275928,1.1196670272032332,1000.0,145.8,12.452314,16,400,2.79763781915439e-12,9796,145.76809475,750200,585,12997,0.2960456,0.0009797615
1000.0,152.59384681818182,33.88066669927478,1.219614,400001,22,12.640704,149.0,0.735504962848969,,,,,,,,,,,,,,,,,,
