eval_qs,eval_ep_rewmean,total timesteps,eval_eplenmean,eval_abs_qs_difference,eval mean 100 episode reward,eval_qs_difference,eval_time_elapsed,eval_discount_q,time_elapsed,qs_mean,ep_rewmean,env_time,episodes,current_lr,fps,act_time,eplenmean,qs_difference,qs_abs_difference,n_updates,train_time,update_time,discount_q,mean 100 episode reward,qfs_loss,q_grad_norm
,,220000,,,,,,,13589,12.031998,135.43803538999998,331,220,0.0003,16,178,1000.0,1.498433376923335,1.5324481683305233,390200,4965,7510,2.5814559231100246e-12,135.4,0.002359208,0.5117346
12.009777,144.7644778181818,220001,1000.0,1.2662317,139.3,0.7906925876912966,25,32.90266302898043,,,,,,,,,,,,,,,,,,
,,224000,,,,,,,13908,12.253367,137.35002217000002,337,224,0.0003,16,181,1000.0,1.5853270026032273,1.6163448797277502,398200,5065,7693,2.4857472251446342e-12,137.4,0.002671367,0.59641397
,,228000,,,,,,,14202,12.158236,139.00449483,343,228,0.0003,16,185,1000.0,0.9662168050019178,0.9792571889100667,406200,5163,7878,2.6351526409857775e-12,139.0,0.0023507685,0.57285815
12.149359,146.744289,230001,1000.0,1.3089328,143.0,0.7718440593187303,24,33.302174319683054,,,,,,,,,,,,,,,,,,
,,232000,,,,,,,14521,12.077394,140.0659495,349,232,0.0003,15,188,1000.0,0.9562917183225116,0.9680221593942542,414200,5262,8062,2.7368775596879322e-12,140.1,0.0021042207,0.54390705
,,236000,,,,,,,14814,11.976447,140.96562709,355,236,0.0003,15,192,1000.0,1.5361725791533571,1.5368464516395648,422200,5360,8246,2.6368205243379372e-12,141.0,0.0025064212,0.5556073
,,240000,,,,,,,15106,12.087354,141.89658135000002,361,240,0.0003,15,196,1000.0,0.9752310231347274,0.989737109827719,430200,5457,8430,2.655438102691857e-12,141.9,0.0022196055,0.60687643
11.937425,144.56113318181818,240001,1000.0,1.1502044,144.1,0.7326716411470803,25,32.842021306502616,,,,,,,,,,,,,,,,,,
,,244000,,,,,,,15424,12.194906,142.55820525000001,367,244,0.0003,15,199,1000.0,1.4145301032050375,1.4597758440970978,438200,5555,8614,2.676720996676397e-12,142.6,0.0025556267,0.6644666
