eval_ep_rewmean,eval_qs_difference,eval_qs,total timesteps,eval mean 100 episode reward,eval_discount_q,eval_eplenmean,eval_abs_qs_difference,eval_time_elapsed,n_updates,qs_difference,qs_mean,mean 100 episode reward,qs_abs_difference,time_elapsed,act_time,train_time,eplenmean,episodes,env_time,update_time,discount_q,ep_rewmean,fps,current_lr,qfs_loss,q_grad_norm
,,,376000,,,,,,702200,0.962997553650696,12.457238,144.0,0.9824875385348244,25637,330,8869,1000.0,376,589,14760,2.665050692210282e-12,143.9557003,14,0.0003,0.0019357636,0.34371093
,,,380000,,,,,,710200,0.9751679856304979,12.013938,144.1,0.9856407106400911,25929,334,8970,1000.0,380,596,14941,2.7684537930187743e-12,144.05398556999998,14,0.0003,0.001694617,0.3185999
142.81960363636364,0.8884128859524498,11.884817,380001,145.2,33.187441876702664,1000.0,1.1978921,25,,,,,,,,,,,,,,,,,,
,,,384000,,,,,,718200,1.1633246024667168,12.236425,144.0,1.1645665573170507,26246,337,9068,1000.0,384,602,15122,2.7724291301321226e-12,143.99248346,14,0.0003,0.0021039557,0.38882595
,,,388000,,,,,,726200,1.0123179292004714,12.133538,143.9,1.0167599843956068,26537,341,9170,1000.0,388,608,15301,2.736174363229251e-12,143.94483289,14,0.0003,0.001849569,0.31700316
145.2958848181818,0.8607363519090804,12.027596,390001,145.0,33.96695409742815,1000.0,1.205794,25,,,,,,,,,,,,,,,,,,
,,,392000,,,,,,734200,0.9722800737437141,12.32009,143.9,0.9886609451557806,26856,345,9273,1000.0,392,615,15479,2.604532252385827e-12,143.94968303000002,14,0.0003,0.0018743703,0.3284177
,,,396000,,,,,,742200,1.0040653998188513,12.213518,144.0,1.0064922261906852,27148,349,9382,1000.0,396,621,15652,2.6191704296728146e-12,143.95486391,14,0.0003,0.0016295784,0.3090735
,,,400000,,,,,,750200,1.2544593402053554,12.068817,143.8,1.2595402525130854,27441,352,9493,1000.0,400,627,15822,2.710148459767652e-12,143.83541387,14,0.0003,0.0019086662,0.32598507
146.7234070909091,0.8599025711729695,12.219318,400001,145.1,33.46388686014456,1000.0,1.3195425,25,,,,,,,,,,,,,,,,,,
