eval mean 100 episode reward,eval_time_elapsed,eval_eplenmean,total timesteps,eval_qs,eval_ep_rewmean,eval_qs_difference,eval_discount_q,eval_abs_qs_difference,qs_mean,ep_rewmean,discount_q,update_time,eplenmean,n_updates,act_time,time_elapsed,env_time,mean 100 episode reward,qs_abs_difference,qs_difference,episodes,current_lr,fps,train_time,qfs_loss,q_grad_norm
0.3,1,64.63636363636364,1,-1.523069,0.04387618181818199,1.570135485707157,2.5919022224043,5.5917187,,,,,,,,,,,,,,,,,,
,,,209251,,,,,,344.3529,995.18307744,0.04196765505219386,8414,283.75,368600,94,12824,193,995.2,272.54764493232955,272.54764493232955,2080,0.0003,16,4016,270.9768,6078.2544
764.6,2,177.45454545454547,210001,344.8057,593.4109934545455,242.4778409938103,109.26352680148703,246.68695,,,,,,,,,,,,,,,,,,
,,,210313,,,,,,471.21613,972.1468865399999,0.7229249210012539,8465,276.5,370800,94,12903,194,972.1,83.55468433368114,82.43645304691812,2084,0.0003,16,4038,237.619,5328.438
,,,211008,,,,,,443.58286,957.56858898,25.49803614297032,8497,272.64,372200,95,12952,195,957.6,75.84909182860301,73.22385346126974,2088,0.0003,16,4054,249.80692,5598.112
,,,212976,,,,,,471.1487,973.9846837499998,3.614422278203366e-05,8583,274.35,376000,96,13084,197,974.0,101.0421244568305,96.85413470868683,2092,0.0003,16,4098,246.66309,5502.8887
,,,213916,,,,,,477.5243,949.4292366899999,0.3477453139109015,8630,268.07,378000,96,13154,197,949.4,188.77688538089188,188.77688538089188,2096,0.0003,16,4118,247.27022,5588.2285
,,,214473,,,,,,391.68845,872.18935492,1.5339380898843753,8654,251.76,379000,96,13188,198,872.2,291.84329404628085,291.84329404628085,2100,0.0003,16,4128,241.07681,5124.8623
,,,216144,,,,,,376.18198,895.6328933499998,2.171134750145614e-05,8730,253.81,382400,97,13308,200,895.6,271.8453660121499,271.8453660121499,2104,0.0003,16,4169,252.8822,6174.582
,,,217133,,,,,,509.15814,907.1944067499999,2.246779522313181,8777,255.9,384400,98,13377,200,907.2,97.01565038503531,88.12302804007923,2108,0.0003,16,4190,249.8222,5777.947
,,,217569,,,,,,347.35632,901.7463075300001,5.271645971379063,8796,252.79,385200,98,13405,201,901.7,250.96048204240512,250.92189534192374,2112,0.0003,16,4198,250.86119,5740.746
,,,219110,,,,,,461.08813,920.29781328,0.001242252516455069,8871,253.19,388400,99,13515,202,920.3,143.1967345330541,143.13423871670585,2116,0.0003,16,4231,239.09824,5692.1494
