eval_time_elapsed,eval_qs,eval_qs_difference,eval_ep_rewmean,eval_abs_qs_difference,eval_discount_q,total timesteps,eval_eplenmean,eval mean 100 episode reward,qs_abs_difference,eplenmean,fps,n_updates,episodes,current_lr,qs_difference,train_time,act_time,env_time,qs_mean,mean 100 episode reward,discount_q,time_elapsed,ep_rewmean,update_time,q_grad_norm,qfs_loss
,,,,,,188000,,,1.3105310569382576,1000.0,18,326200,188,0.0003,1.2771974264130268,4264,143,276,13.595024,151.9,2.640893200341227e-12,10365,151.87749372,5193,0.71792823,0.0028950935
22,12.739331,1.176372249749806,148.72783290909092,1.6081612,33.43256853768011,190001,1000.0,153.6,,,,,,,,,,,,,,,,,,
,,,,,,192000,,,1.0689083395498429,1000.0,18,334200,192,0.0003,1.0619109328436476,4369,147,282,13.340886,152.1,2.691011107446082e-12,10654,152.12331914,5344,0.73068595,0.0025564535
,,,,,,196000,,,1.1678114632987862,1000.0,17,342200,196,0.0003,1.1642471129515148,4474,150,288,13.793575,152.8,2.555071372469158e-12,10920,152.81628557000002,5495,0.71645063,0.0025156713
,,,,,,200000,,,1.2266999905925589,1000.0,17,350200,200,0.0003,1.217968078059099,4578,154,294,13.05929,153.5,2.7765857086997763e-12,11185,153.53650421,5646,0.42001334,0.0014775269
22,12.709298,1.381214280381378,146.231078,1.9588063,33.28307902906154,200001,1000.0,153.5,,,,,,,,,,,,,,,,,,
,,,,,,204000,,,2.053264467208717,1000.0,17,358200,204,0.0003,2.053205278279919,4683,157,300,13.099653,153.6,2.7357671446663545e-12,11474,153.59252825,5796,0.54459155,0.0017996901
,,,,,,208000,,,1.0953485523372655,1000.0,17,366200,208,0.0003,1.0883665203464443,4788,160,306,13.000563,153.9,2.691135823374605e-12,11740,153.93615954999999,5948,0.58147764,0.0018897237
22,12.609475,0.7432442459383671,152.09284090909094,1.3141534,33.76821775437641,210001,1000.0,153.4,,,,,,,,,,,,,,,,,,
,,,,,,212000,,,1.0525344288063083,1000.0,17,374200,212,0.0003,1.0499974648387742,4893,164,311,12.923457,154.1,2.6738488561552166e-12,12029,154.11757527,6098,0.45655233,0.0016718709
,,,,,,216000,,,1.206028725344783,1000.0,17,382200,216,0.0003,1.1456045554060537,4997,167,317,13.189918,154.2,2.7032642627476356e-12,12295,154.20388848,6249,0.56962323,0.0018922598
,,,,,,220000,,,1.027642080375397,1000.0,17,390200,220,0.0003,1.0252873535200637,5102,171,323,12.958871,154.2,2.6427712809218542e-12,12561,154.17507644,6400,0.6157247,0.002118716
22,13.049475,0.7121574449807156,156.05158199999997,1.2875053,33.008488202013424,220001,1000.0,152.9,,,,,,,,,,,,,,,,,,
,,,,,,224000,,,1.1594952523236368,1000.0,17,398200,224,0.0003,1.0809815824407483,5206,174,329,12.613927,153.9,2.7212747791608256e-12,12849,153.85720765999997,6550,0.63338464,0.00267311
,,,,,,228000,,,1.3242932379836343,1000.0,17,406200,228,0.0003,1.3238946258484472,5311,178,335,12.789926,153.6,2.6887434092051107e-12,13115,153.59811112,6701,0.44458154,0.0015161559
22,12.30747,0.9731935901354593,146.73220927272726,1.5266604,33.72671692994454,230001,1000.0,151.2,,,,,,,,,,,,,,,,,,
,,,,,,232000,,,1.6146166233327666,1000.0,17,414200,232,0.0003,1.6144121010062666,5416,181,341,12.418877,153.4,2.7147007330311306e-12,13404,153.35633642000002,6852,0.4939062,0.0018988278
,,,,,,236000,,,0.981645051508917,1000.0,17,422200,236,0.0003,0.9675687501328457,5521,185,347,12.504615,153.1,2.6626452175460827e-12,13669,153.12701694,7002,0.52548796,0.0016574987
,,,,,,240000,,,1.0429865629050719,1000.0,17,430200,240,0.0003,1.021227192340971,5625,188,353,12.395038,152.7,2.76835869701338e-12,13935,152.70960251,7153,0.5923231,0.0018876642
22,12.364234,0.9053709107677964,148.23029790909092,1.3948051,33.98148655694655,240001,1000.0,149.8,,,,,,,,,,,,,,,,,,
,,,,,,244000,,,1.0282829734278245,1000.0,17,438200,244,0.0003,1.009971184281231,5730,191,359,12.703883,152.3,2.573513901957525e-12,14224,152.29857276,7304,0.54826987,0.0020064653
,,,,,,248000,,,1.0350131272130791,1000.0,17,446200,248,0.0003,0.9868261923219722,5835,195,365,12.396797,151.9,2.736379045450733e-12,14490,151.90921886,7455,0.4734885,0.0015092153
22,12.418461,0.8308366266704824,148.98856309090908,1.2454416,33.44678696214219,250001,1000.0,149.4,,,,,,,,,,,,,,,,,,
,,,,,,252000,,,1.0188017824053934,1000.0,17,454200,252,0.0003,1.0105922806778826,5939,198,371,12.569612,151.5,2.735560110558571e-12,14779,151.53968729,7606,0.43882447,0.0015349023
,,,,,,256000,,,1.0795717392832,1000.0,17,462200,256,0.0003,1.0682374811524238,6044,202,377,12.30985,151.1,2.6719075801792738e-12,15045,151.06405344000004,7756,0.48731834,0.0017388745
,,,,,,260000,,,1.1386944512760173,1000.0,16,470200,260,0.0003,1.137817133305883,6148,205,382,12.344978,150.7,2.772182094932557e-12,15311,150.68030357,7907,0.52339077,0.0017580763
22,12.504318,1.2227914241379074,145.87723036363636,1.5585538,33.39591724775766,260001,1000.0,149.1,,,,,,,,,,,,,,,,,,
,,,,,,264000,,,1.0175074468796452,1000.0,16,478200,264,0.0003,1.0129357756433994,6253,209,388,12.363723,150.2,2.7408604829714818e-12,15599,150.19716588,8058,0.48936173,0.0014075828
,,,,,,268000,,,1.097718423807344,1000.0,16,486200,268,0.0003,1.0534804993162448,6358,212,394,12.636492,149.9,2.5605393636215046e-12,15864,149.86865521000001,8208,0.64035386,0.002402473
22,12.410171,0.7879053898539233,149.19949281818182,1.2333907,33.309945735093976,270001,1000.0,149.1,,,,,,,,,,,,,,,,,,
,,,,,,272000,,,1.6243155904675648,1000.0,16,494200,272,0.0003,1.622932115244893,6462,215,400,12.563192,149.4,2.515759510035646e-12,16153,149.39376261,8359,0.38964012,0.0013081223
,,,,,,276000,,,1.086649836571544,1000.0,16,502200,276,0.0003,1.080502957767186,6566,219,406,12.873015,149.2,2.6232542012929016e-12,16418,149.16969902,8510,0.3631427,0.0012322224
,,,,,,280000,,,1.1178402314907034,1000.0,16,510200,280,0.0003,1.115191256696034,6671,222,412,12.620231,148.9,2.7270716056903105e-12,16684,148.94928833,8661,0.41529316,0.0014706253
22,12.48253,0.7389357942832039,150.63175354545453,1.1992613,33.53112623544309,280001,1000.0,149.4,,,,,,,,,,,,,,,,,,
,,,,,,284000,,,1.0839818779048516,1000.0,16,518200,284,0.0003,1.0832559115490743,6776,226,418,12.585133,148.6,2.697381931870709e-12,16972,148.56289629999998,8811,0.4056366,0.0014340084
,,,,,,288000,,,1.0423809298488271,1000.0,16,526200,288,0.0003,1.040984689704989,6880,229,424,12.607038,148.3,2.6089085677600593e-12,17238,148.32297732,8962,0.44480896,0.0013521365
22,12.486515,0.8069761450339112,149.4421869090909,1.2888004,32.976562749797274,290001,1000.0,149.6,,,,,,,,,,,,,,,,,,
,,,,,,292000,,,1.170063228982252,1000.0,16,534200,292,0.0003,1.1676887388976656,6985,232,430,12.792769,148.1,2.6086143731570346e-12,17527,148.07402875999998,9113,0.39066705,0.0012808921
,,,,,,296000,,,1.2235774804497708,1000.0,16,542200,296,0.0003,1.2156950584413468,7089,236,435,12.439287,147.8,2.7739756418806138e-12,17793,147.80580092,9264,0.3385552,0.0010641575
,,,,,,300000,,,1.4653727048126781,1000.0,16,550200,300,0.0003,1.4504511499989294,7194,239,441,12.4481735,147.7,2.8217848435228314e-12,18058,147.69426683,9414,0.4224505,0.0015894999
22,12.351127,0.7984359580990185,147.99360872727271,1.2591615,32.794641900728244,300001,1000.0,149.3,,,,,,,,,,,,,,,,,,
,,,,,,304000,,,1.1182832487284042,1000.0,16,558200,304,0.0003,1.0760886064246025,7298,243,447,12.568494,147.8,2.6005730270775956e-12,18346,147.77992619999998,9565,0.53029484,0.0019857604
,,,,,,308000,,,1.1148396741859212,1000.0,16,566200,308,0.0003,1.1144232205839788,7403,246,453,12.463811,147.5,2.4594842416551475e-12,18612,147.49329415,9715,0.36986646,0.0010639201
22,12.325044,0.8811599402101682,147.61320563636366,1.2109972,33.50945331885744,310001,1000.0,148.5,,,,,,,,,,,,,,,,,,
,,,,,,312000,,,1.177043902753766,1000.0,16,574200,312,0.0003,1.1769742080746703,7507,250,459,12.569542,147.4,2.6032048221496948e-12,18900,147.35410517,9866,0.37766084,0.0011254203
,,,,,,316000,,,1.159493322559116,1000.0,16,582200,316,0.0003,1.1552384146985768,7612,253,465,12.565971,147.1,2.7150661627834013e-12,19166,147.09704150000002,10017,0.39316317,0.0012474152
