eval_time_elapsed,eval mean 100 episode reward,eval_discount_q,eval_qs,eval_eplenmean,eval_abs_qs_difference,eval_ep_rewmean,eval_qs_difference,total timesteps,fps,ep_rewmean,mean 100 episode reward,eplenmean,qs_difference,current_lr,time_elapsed,qs_abs_difference,update_time,discount_q,episodes,env_time,act_time,qs_mean,n_updates,train_time,qfs_loss,q_grad_norm
1,155.9,104.50581393674223,-1.4063522,80.9090909090909,66.833015,156.41753018181817,-66.83300745162934,1,,,,,,,,,,,,,,,,,,
,,,,,,,,6402,246,19.3475778,19.3,21.57,-2.108884718441845,0.0003,25,2.108884718441845,17,2.886078295510595,300,5,0,0.46497184,0,0,,
,,,,,,,,6489,249,19.34872044,19.3,21.54,-3.5336097084045432,0.0003,26,3.693021600883452,17,5.9736733047646435,304,5,0,0.57167107,0,0,,
,,,,,,,,6603,243,19.473420920000002,19.5,21.95,-6.602024545485143,0.0003,27,6.852325474620401,18,8.882191828964352,308,5,0,0.51994747,0,0,,
,,,,,,,,6675,245,19.592855300000004,19.6,22.1,-5.823783020412776,0.0003,27,5.849036253249793,18,9.15099920101612,312,5,0,0.6328755,0,0,,
,,,,,,,,6757,242,19.254624120000003,19.3,22.17,-4.249968747859068,0.0003,27,4.362017898825554,18,8.488384396428183,316,5,0,0.5644855,0,0,,
,,,,,,,,6843,238,19.38301222,19.4,22.28,-4.160208818052075,0.0003,28,4.160208818052075,19,4.750650159120655,320,5,0,0.520992,0,0,,
,,,,,,,,6996,236,19.984511670000003,20.0,22.89,-4.326503715537749,0.0003,29,4.339555725548779,19,3.826735290346931,324,6,0,0.6195062,0,0,,
,,,,,,,,7085,235,19.30997669,19.3,22.64,-10.536593003102881,0.0003,30,10.536593003102881,20,9.866234271631443,328,6,0,0.4269412,0,0,,
,,,,,,,,7169,233,19.494611749999997,19.5,22.62,-4.716451611985395,0.0003,30,4.716451611985395,20,4.871726113697538,332,6,0,0.29573262,0,0,,
,,,,,,,,7257,231,19.657371969999996,19.7,22.66,-5.115110139399875,0.0003,31,5.115110139399875,21,5.224800575090141,336,6,0,0.34217328,0,0,,
,,,,,,,,7324,229,19.171570600000003,19.2,22.14,-3.3303290537581263,0.0003,31,3.3406325031988895,21,4.404649976408693,340,6,0,0.3749658,0,0,,
,,,,,,,,7443,227,19.426373950000002,19.4,22.38,-12.229786746399979,0.0003,32,12.233819081572927,22,9.540257489705116,344,6,0,0.44775897,0,0,,
,,,,,,,,7544,225,19.610833190000005,19.6,22.8,-6.892215494568109,0.0003,33,6.892215494568109,23,5.771970717982805,348,6,0,0.2803064,0,0,,
,,,,,,,,7624,222,19.23741157,19.2,22.5,-11.446921618811018,0.0003,34,11.475903154794944,23,13.978354005499467,352,6,0,0.42239708,0,0,,
,,,,,,,,7750,220,20.188343510000003,20.2,23.06,-2.7154595446208063,0.0003,35,2.7154595446208063,24,1.9363544587143096,356,6,0,0.39803508,0,0,,
,,,,,,,,7821,218,19.97612814,20.0,22.77,-5.893153833982921,0.0003,35,5.893153833982921,25,6.440366319642393,360,6,0,0.24358489,0,0,,
,,,,,,,,7923,217,19.84185389,19.8,22.68,-5.209505934855342,0.0003,36,5.219158105666569,25,5.303041801141109,364,6,0,0.63496435,0,0,,
,,,,,,,,8064,216,20.86994301,20.9,23.52,-0.18863698591796624,0.0003,37,3.001675319511734,26,2.8601224265083953,368,7,0,0.7524579,0,0,,
,,,,,,,,8118,214,20.94784621,20.9,23.52,-4.310024532226697,0.0003,37,4.320617240037686,26,6.7384895479390705,372,7,0,0.47872883,0,0,,
,,,,,,,,8236,213,21.01763959,21.0,23.66,-47.96799244912279,0.0003,38,47.96799244912279,27,40.29171824757175,376,7,0,0.1525184,0,0,,
,,,,,,,,8322,210,19.49393645,19.5,22.92,-2.209675500275258,0.0003,39,2.58794737213294,28,5.35741825439951,380,7,0,0.71207887,0,0,,
,,,,,,,,8428,208,19.88065657,19.9,23.13,-9.02970681816769,0.0003,40,9.02970681816769,29,9.55959384528722,384,7,0,0.4599675,0,0,,
,,,,,,,,8547,207,20.10044946,20.1,23.62,-6.00925727134095,0.0003,41,6.09818902585179,29,6.200545538956975,388,7,0,0.5326658,0,0,,
,,,,,,,,8661,206,20.310829469999998,20.3,23.98,-6.836464555228703,0.0003,41,6.984164902053239,30,7.790834913789708,392,7,0,0.6011454,0,0,,
,,,,,,,,8741,205,20.38904079,20.4,24.08,-4.876027565634388,0.0003,42,4.876027565634388,30,5.672809513007813,396,7,0,0.4777064,0,0,,
,,,,,,,,8796,206,20.16744555,20.2,23.94,-3.937877614716963,0.0003,42,3.937877614716963,30,6.223303991541787,400,7,0,0.621815,0,0,,
,,,,,,,,8880,204,20.13070648,20.1,23.91,-10.333723205589484,0.0003,43,10.35348649419156,31,13.979202143727287,404,7,0,0.42770562,0,0,,
,,,,,,,,8989,202,20.148892799999995,20.1,23.86,-3.388354210002784,0.0003,44,3.405311090691492,32,3.0658465412452904,408,7,0,0.4359985,0,0,,
,,,,,,,,9034,199,19.98256751,20.0,23.59,-2.635006218368581,0.0003,45,2.635006218368581,33,3.854673051452948,412,7,0,0.30577153,0,0,,
,,,,,,,,9093,200,19.944191099999998,19.9,23.36,-2.355090349586586,0.0003,45,2.4910859338904534,33,4.777225080970125,416,7,0,0.55312383,0,0,,
,,,,,,,,9157,198,19.705110759999997,19.7,23.14,-1.669388075390099,0.0003,46,2.138758930740543,34,4.737509809319619,420,7,0,0.6315336,0,0,,
,,,,,,,,9223,196,18.95032054,19.0,22.27,-2.6033070473476716,0.0003,46,2.6033070473476716,34,3.4260483131316395,424,7,0,0.30658737,0,0,,
,,,,,,,,9337,195,19.28559927,19.3,22.52,-18.202841764626672,0.0003,47,18.202841764626672,35,15.41714926201791,428,8,0,0.3362403,0,0,,
,,,,,,,,9422,194,19.065115560000002,19.1,22.53,-5.098376316927747,0.0003,48,5.098376316927747,36,5.477784681606378,432,8,0,0.4641438,0,0,,
,,,,,,,,9514,192,19.05716468,19.1,22.57,-10.821256307274405,0.0003,49,10.821256307274405,36,10.164427390125068,436,8,0,0.28251085,0,0,,
,,,,,,,,9626,190,19.151214649999996,19.2,23.02,-5.741177502591355,0.0003,50,5.746509018590957,37,5.163155883494799,440,8,0,0.47826713,0,0,,
,,,,,,,,9713,189,18.892208770000003,18.9,22.7,-4.196332809353131,0.0003,51,4.229217631856918,38,6.195440999972834,444,8,0,0.6028635,0,0,,
,,,,,,,,9831,188,19.22109446,19.2,22.87,-24.844128563883263,0.0003,52,24.844128563883263,39,22.961326144668806,448,8,0,0.34762877,0,0,,
,,,,,,,,9904,187,19.264867950000003,19.3,22.8,-5.179857636202329,0.0003,52,5.179857636202329,39,6.719693054079613,452,8,0,0.5128844,0,0,,
1,156.4,104.50143803471437,-1.4051093,80.9090909090909,66.82018,156.40868254545455,-66.82018010672934,10001,,,,,,,,,,,,,,,,,,
,,,,,,,,10039,183,18.73641683,18.7,22.89,-2.4122270061052333,0.0003,54,2.5018981257885637,40,2.705918658276771,456,8,0,0.7499752,0,0,,
