eval_eplenmean,eval_ep_rewmean,eval_time_elapsed,eval_qs,eval_discount_q,eval_abs_qs_difference,total timesteps,eval_qs_difference,eval mean 100 episode reward,time_elapsed,qs_abs_difference,env_time,update_time,qs_difference,ep_rewmean,qs_mean,n_updates,current_lr,train_time,discount_q,fps,eplenmean,episodes,act_time,mean 100 episode reward,qfs_loss,q_grad_norm
,,,,,,7672,,,139,25.6743832367947,13,118,-25.6743832367947,54.38627629,0.74117863,0,0.0003,0,37.58829592849589,54,5.99,1272,1,54.4,,
,,,,,,7692,,,139,30.877935503741885,13,118,-30.877935503741885,52.99855158999999,0.25263217,0,0.0003,0,46.44916225412414,54,5.84,1276,1,53.0,,
,,,,,,7721,,,143,26.09437484820724,13,121,-26.09437484820724,53.74421285,0.21581435,0,0.0003,0,34.6223256307135,53,5.92,1280,1,53.7,,
,,,,,,7741,,,143,22.062533952847243,13,121,-22.062533952847243,53.73486136,0.1280918,0,0.0003,0,30.255490944060607,54,5.92,1284,1,53.7,,
,,,,,,7764,,,143,30.25817519241725,13,121,-30.25817519241725,53.92506486000001,0.69001985,0,0.0003,0,44.72273958706698,54,5.94,1288,1,53.9,,
,,,,,,7787,,,143,30.86255544574183,13,121,-30.86255544574183,53.72528736999999,0.22949953,0,0.0003,0,44.90344734477288,54,5.92,1292,1,53.7,,
,,,,,,7811,,,146,25.825890237576875,13,124,-25.825890237576875,54.27886184999999,0.76597834,0,0.0003,0,36.74492008287453,53,5.98,1296,1,54.3,,
,,,,,,7840,,,146,25.798263150867804,13,124,-25.798263150867804,54.74316403000001,0.8069027,0,0.0003,0,34.85759887095932,53,6.03,1300,1,54.7,,
,,,,,,7870,,,146,26.328832997714876,13,124,-26.328832997714876,54.922347689999995,0.086812675,0,0.0003,0,34.34351016974966,53,6.05,1304,1,54.9,,
,,,,,,7896,,,146,34.63978734852098,13,124,-34.63978734852098,54.822783369999996,0.70842373,0,0.0003,0,51.17891665438381,53,6.04,1308,1,54.8,,
,,,,,,7919,,,150,30.84941842002352,13,127,-30.84941842002352,54.64009886000001,0.2277161,0,0.0003,0,44.95150953688627,52,6.02,1312,1,54.6,,
,,,,,,7943,,,150,21.405716290163888,13,127,-21.405716290163888,53.98419438,0.7465447,0,0.0003,0,29.059377360919157,52,5.95,1316,1,54.0,,
,,,,,,7961,,,150,21.604940076123547,13,127,-21.604940076123547,53.4318682,0.15871355,0,0.0003,0,30.448587842601853,52,5.89,1320,1,53.4,,
,,,,,,7990,,,150,43.228368751029684,13,127,-43.228368751029684,53.713273369999996,0.5969871,0,0.0003,0,64.52967387024336,53,5.92,1324,1,53.7,,
,,,,,,8015,,,153,39.42400898295438,13,130,-39.42400898295438,53.82239487000001,0.51535475,0,0.0003,0,59.56139131491179,52,5.93,1328,1,53.8,,
,,,,,,8043,,,153,29.96548184534854,13,130,-29.96548184534854,54.46564523000001,0.76173395,0,0.0003,0,42.356130427761116,52,6.0,1332,1,54.5,,
,,,,,,8070,,,153,38.796904568240336,13,130,-38.796904568240336,55.11460141,0.6604357,0,0.0003,0,58.097436769049864,52,6.07,1336,1,55.1,,
,,,,,,8090,,,153,25.50486440367379,13,130,-25.50486440367379,54.28334793999999,0.8000144,0,0.0003,0,37.93167133524193,52,5.98,1340,1,54.3,,
,,,,,,8115,,,157,21.33083023033425,13,133,-21.33083023033425,54.28927782000001,0.77012277,0,0.0003,0,28.792618833387447,51,5.98,1344,1,54.3,,
,,,,,,8135,,,157,30.294310709383694,13,133,-30.294310709383694,53.63320076,0.69612557,0,0.0003,0,46.128361932698446,51,5.91,1348,1,53.6,,
,,,,,,8154,,,157,25.498179017158368,13,133,-25.498179017158368,53.637169899999996,0.7568156,0,0.0003,0,38.24247095692385,51,5.91,1352,1,53.6,,
,,,,,,8177,,,157,22.010628778259974,13,133,-22.010628778259974,53.26970421000001,0.20158274,0,0.0003,0,29.48228429362421,51,5.87,1356,1,53.3,,
,,,,,,8206,,,160,35.12565589533269,13,137,-35.12565589533269,54.287111839999994,0.28370053,0,0.0003,0,49.71353479416703,51,5.98,1360,1,54.3,,
,,,,,,8224,,,160,21.134196138888466,13,137,-21.134196138888466,54.095375720000014,0.66637754,0,0.0003,0,30.497564486947525,51,5.96,1364,1,54.1,,
,,,,,,8243,,,160,21.824756663600727,13,137,-21.824756663600727,53.72844974,0.32515597,0,0.0003,0,30.63484259119197,51,5.92,1368,1,53.7,,
,,,,,,8266,,,160,25.868713579552708,14,137,-25.868713579552708,53.92008963,0.7714061,0,0.0003,0,37.12637639169793,51,5.94,1372,1,53.9,,
,,,,,,8290,,,160,30.467374860599943,14,137,-30.467374860599943,54.28787838000001,0.22681464,0,0.0003,0,44.162359376174535,51,5.98,1376,1,54.3,,
,,,,,,8312,,,164,26.06081443011724,14,140,-26.06081443011724,53.63095754999999,0.23632582,0,0.0003,0,37.25000764136484,50,5.91,1380,1,53.6,,
,,,,,,8344,,,164,52.514042331438525,14,140,-52.514042331438525,54.74766299000001,0.3984137,0,0.0003,0,78.00830405151012,50,6.03,1384,1,54.7,,
,,,,,,8373,,,164,35.2370161550588,14,140,-35.2370161550588,55.30818796000001,0.22128363,0,0.0003,0,49.73267333238371,50,6.09,1388,1,55.3,,
,,,,,,8405,,,167,26.43068755289567,14,143,-26.43068755289567,56.146059560000005,0.1891529,0,0.0003,0,33.88986299577027,50,6.18,1392,1,56.1,,
,,,,,,8429,,,167,21.976749180540605,14,143,-21.976749180540605,56.160176410000005,0.16012947,0,0.0003,0,29.048322590242922,50,6.18,1396,1,56.2,,
,,,,,,8458,,,168,30.814952926326146,14,143,-30.814952926326146,56.158347510000006,0.16364415,0,0.0003,0,42.19233034648785,50,6.18,1400,1,56.2,,
,,,,,,8480,,,168,39.06076746650598,14,143,-39.06076746650598,55.41275258,0.8518321,0,0.0003,0,61.52692292429808,50,6.1,1404,1,55.4,,
